"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Ca_Diss_Water_dl","Cl_Diss_Water","Cl_Diss_Water_dl","DMS_Tot_Water","DMS_Tot_Water_dl","EC_Phys_Water","EC_Phys_Water_dl","F_Diss_Water","F_Diss_Water_dl","K_Diss_Water","K_Diss_Water_dl","KJEL_N_Tot_Water","KJEL_N_Tot_Water_dl","Mg_Diss_Water","Mg_Diss_Water_dl","Na_Diss_Water","Na_Diss_Water_dl","NH4_N_Diss_Water","NH4_N_Diss_Water_dl","NO3_NO2_N_Diss_Water","NO3_NO2_N_Diss_Water_dl","P_Tot_Water","P_Tot_Water_dl","pH_Diss_Water","pH_Diss_Water_dl","PO4_P_Diss_Water","PO4_P_Diss_Water_dl","Si_Diss_Water","Si_Diss_Water_dl","SO4_Diss_Water","SO4_Diss_Water_dl","TAL_Diss_Water","TAL_Diss_Water_dl","Station","Qat"
90214,1979-05-22 13:00:00,0,"DWS-RQIS","NONE",29.5,1,36.5,3,353,1,50.6,1,0.6,0.1,5.34,0.3,#n/a,#n/a,23.2,1,36.4,2,0.02,0.04,1.12,0.04,#n/a,#n/a,8.83,2,0.242,0.005,4.02,0.4,72.5,4,117.7,4,"A2H083Q01","A21J"
90214,1979-07-04 11:50:00,0,"DWS-RQIS","NONE",31.8,1,35,3,360,1,52,1,0.58,0.1,5.35,0.3,#n/a,#n/a,23.7,1,37.7,2,0.11,0.04,1.14,0.04,#n/a,#n/a,8.59,2,0.197,0.005,3.83,0.4,76,4,118.1,4,"A2H083Q01","A21J"
90214,1979-08-03 13:00:00,0,"DWS-RQIS","NONE",32.4,1,37.7,3,370,1,53.3,1,0.55,0.1,5.3,0.3,#n/a,#n/a,23.2,1,37.4,2,0.08,0.04,1.73,0.04,#n/a,#n/a,8.32,2,0.226,0.005,3.49,0.4,79.7,4,119.3,4,"A2H083Q01","A21J"
90214,1986-05-20 08:15:00,0,"DWS-RQIS","HGCL2",48,1,56.4,3,472,1,69,1,0.83,0.1,13.85,0.3,7.66,0.04,17.2,1,54.3,2,1.35,0.04,3.53,0.04,1.17,0.005,7.22,2,0.6,0.005,5.38,0.4,134,4,105.3,4,"A2H083Q01","A21J"
90214,1986-05-20 11:00:00,0,"DWS-RQIS","HGCL2",45.6,1,62.1,3,476,1,73,1,0.87,0.1,16.38,0.3,21.39,0.04,17.8,1,54.7,2,5.28,0.04,3.54,0.04,3.17,0.005,7.31,2,2.06,0.005,5.38,0.4,135.2,4,93.7,4,"A2H083Q01","A21J"
90214,1986-05-20 14:00:00,0,"DWS-RQIS","HGCL2",47.6,1,75.9,3,446,1,71,1,0.88,0.1,14.13,0.3,17.06,0.04,18,1,55.5,2,2.11,0.04,3.65,0.04,1.96,0.005,7.25,2,1.31,0.005,5.29,0.4,119.4,4,75.5,4,"A2H083Q01","A21J"
90214,1986-05-20 17:00:00,0,"DWS-RQIS","HGCL2",47.6,1,51.7,3,423,1,67,1,0.89,0.1,10.56,0.3,2.058,0.04,17.3,1,53.9,2,0.17,0.04,3.45,0.04,0.54,0.005,7.48,2,0.169,0.005,5.13,0.4,111,4,93.7,4,"A2H083Q01","A21J"
90214,1986-05-20 20:00:00,0,"DWS-RQIS","HGCL2",46.5,1,61.5,3,470,1,71,1,0.85,0.1,19.46,0.3,13.53,0.04,17.7,1,55.1,2,1.98,0.04,3.5,0.04,2.66,0.005,7.36,2,2.2,0.005,5.12,0.4,126.6,4,96.5,4,"A2H083Q01","A21J"
90214,1986-05-21 05:00:00,0,"DWS-RQIS","HGCL2",49,1,56.2,3,439,1,69,1,0.85,0.1,12.53,0.3,5.17,0.04,17.6,1,54.6,2,0.68,0.04,3.48,0.04,0.87,0.005,7.42,2,0.408,0.005,5.2,0.4,115.5,4,94.5,4,"A2H083Q01","A21J"
90214,1986-05-21 14:00:00,0,"DWS-RQIS","HGCL2",47.5,1,47.5,3,421,1,66,1,0.86,0.1,10.1,0.3,2.034,0.04,16.6,1,54.2,2,0.14,0.04,3.3,0.04,0.438,0.005,7.45,2,0.117,0.005,5.03,0.4,111.5,4,96.4,4,"A2H083Q01","A21J"
90214,1986-05-21 17:00:00,0,"DWS-RQIS","HGCL2",46.1,1,59.7,3,480,1,72,1,0.9,0.1,23.05,0.3,10.7,0.04,20.7,1,55.8,2,2.23,0.04,3.13,0.04,2.99,0.005,7.28,2,2.31,0.005,5.44,0.4,132.8,4,96.4,4,"A2H083Q01","A21J"
90214,1986-05-21 20:00:00,0,"DWS-RQIS","HGCL2",50.2,1,50.5,3,425,1,70,1,0.86,0.1,10.63,0.3,3.636,0.04,17.2,1,54,2,0.11,0.04,1.8,0.04,0.93,0.005,7.36,2,0.108,0.005,5.85,0.4,109.2,4,101.8,4,"A2H083Q01","A21J"
90214,1986-05-22 08:00:00,0,"DWS-RQIS","HGCL2",48.7,1,50.4,3,420,1,69,1,0.88,0.1,10.83,0.3,4.46,0.04,17,1,53.4,2,0.17,0.04,2.47,0.04,0.87,0.005,7.36,2,0.213,0.005,5.27,0.4,113.1,4,93,4,"A2H083Q01","A21J"
90214,1986-05-22 14:00:00,0,"DWS-RQIS","HGCL2",47.1,1,57.6,3,442,1,70,1,0.9,0.1,17.22,0.3,6.69,0.04,18.3,1,53.4,2,0.92,0.04,3.4,0.04,1.24,0.005,7.39,2,0.95,0.005,5.11,0.4,112.8,4,94.4,4,"A2H083Q01","A21J"
90214,1986-05-22 16:00:00,0,"DWS-RQIS","HGCL2",48.1,1,50.4,3,433,1,66,1,0.88,0.1,10.88,0.3,2.373,0.04,16.6,1,56.2,2,0.27,0.04,3.59,0.04,0.54,0.005,7.42,2,0.338,0.005,5.27,0.4,112.9,4,98.2,4,"A2H083Q01","A21J"
90214,1986-05-23 10:00:00,0,"DWS-RQIS","HGCL2",47.7,1,50.8,3,432,1,66,1,0.88,0.1,10.2,0.3,2.159,0.04,16.6,1,55,2,0.17,0.04,3.3,0.04,0.486,0.005,7.79,2,0.134,0.005,4.93,0.4,111.3,4,102,4,"A2H083Q01","A21J"
90214,1988-01-25 09:30:00,0,"DWS-RQIS","HGCL2",45.2,1,52,3,415,1,66.1,1,0.74,0.1,9.58,0.3,3.318,0.04,18.2,1,50.9,2,1.32,0.04,1.16,0.04,0.58,0.005,7.44,2,0.204,0.005,5.13,0.4,81.7,4,122.1,4,"A2H083Q01","A21J"
90214,1988-02-01 07:00:00,0,"DWS-RQIS","HGCL2",45,1,53.9,3,423,1,66.3,1,0.87,0.1,9.97,0.3,3.353,0.04,17.5,1,50.9,2,1.28,0.04,1.17,0.04,0.6,0.005,7.5,2,0.3,0.005,5.07,0.4,83.2,4,126,4,"A2H083Q01","A21J"
90214,1988-02-08 07:00:00,0,"DWS-RQIS","HGCL2",45.2,1,50.3,3,407,1,64.8,1,0.87,0.1,8.5,0.3,2.245,0.04,17.2,1,45.9,2,1.88,0.04,0.66,0.04,0.56,0.005,7.5,2,0.416,0.005,4.67,0.4,81.8,4,123.5,4,"A2H083Q01","A21J"
90214,1988-02-15 07:00:00,0,"DWS-RQIS","HGCL2",47.2,1,50.4,3,425,1,65,1,0.89,0.1,9.36,0.3,2.018,0.04,17.5,1,48.8,2,0.9,0.04,1.21,0.04,0.58,0.005,7.9,2,0.239,0.005,5.6,0.4,83.3,4,131.3,4,"A2H083Q01","A21J"
90214,1988-02-29 07:00:00,0,"DWS-RQIS","HGCL2",46.5,1,52.7,3,422,1,64.5,1,0.96,0.1,9.3,0.3,3.922,0.04,17,1,48,2,1.9,0.04,0.38,0.04,0.54,0.005,7.9,2,0.178,0.005,5.4,0.4,83.2,4,131.3,4,"A2H083Q01","A21J"
90214,1988-03-22 07:00:00,0,"DWS-RQIS","HGCL2",40.1,1,46.7,3,363,1,53.6,1,0.86,0.1,8.22,0.3,4.04,0.04,14.2,1,38.4,2,2.73,0.04,1.72,0.04,0.603,0.005,7.85,2,0.335,0.005,5.59,0.4,67.9,4,109.9,4,"A2H083Q01","A21J"
90214,1988-04-04 07:00:00,0,"DWS-RQIS","HGCL2",39.4,1,45.3,3,361,1,53.7,1,0.9,0.1,8.38,0.3,4.46,0.04,14,1,39.1,2,3.06,0.04,1.72,0.04,0.59,0.005,7.9,2,0.341,0.005,5.65,0.4,66,4,110.9,4,"A2H083Q01","A21J"
90214,1988-04-11 07:00:00,0,"DWS-RQIS","HGCL2",38.1,1,50.7,3,348,1,50,1,0.7,0.1,8.08,0.3,3.676,0.04,14,1,39.6,2,0.14,0.04,1.07,0.04,0.53,0.005,7.2,2,0.249,0.005,5.48,0.4,66.4,4,102.6,4,"A2H083Q01","A21J"
90214,1988-04-18 07:00:00,0,"DWS-RQIS","HGCL2",39.6,1,47.7,3,363,1,51,1,0.7,0.1,8.24,0.3,3.664,0.04,14.9,1,41.8,2,2.3,0.04,1.26,0.04,0.56,0.005,7.3,2,0.194,0.005,5.55,0.4,68.9,4,108.4,4,"A2H083Q01","A21J"
90214,1988-04-25 07:00:00,0,"DWS-RQIS","HGCL2",40.5,1,47.4,3,381,1,53,1,0.78,0.1,8.76,0.3,2.109,0.04,16,1,45.9,2,1.26,0.04,1.58,0.04,0.424,0.005,7.4,2,0.23,0.005,5.34,0.4,75.5,4,112,4,"A2H083Q01","A21J"
90214,1988-05-02 07:00:00,0,"DWS-RQIS","HGCL2",41,1,48.4,3,381,1,54,1,0.82,0.1,8.89,0.3,0.903,0.04,16.9,1,47.4,2,0.16,0.04,2.24,0.04,0.371,0.005,7.3,2,0.081,0.005,5.22,0.4,80.4,4,104,4,"A2H083Q01","A21J"
90214,1988-05-14 07:00:00,0,"DWS-RQIS","HGCL2",42.3,1,48.6,3,388,1,63.1,1,0.87,0.1,9.07,0.3,0.772,0.04,17,1,47.9,2,0.08,0.04,2.27,0.04,0.349,0.005,7.95,2,0.054,0.005,5.43,0.4,83.6,4,105,4,"A2H083Q01","A21J"
90214,1988-05-21 07:00:00,0,"DWS-RQIS","HGCL2",42.8,1,49.4,3,393,1,63.7,1,0.76,0.1,8.84,0.3,1.035,0.04,16.7,1,47,2,0.11,0.04,2.39,0.04,0.272,0.005,7.89,2,0.04,0.005,5.41,0.4,84.7,4,108.2,4,"A2H083Q01","A21J"
90214,1988-05-28 07:00:00,0,"DWS-RQIS","HGCL2",42.1,1,49.3,3,391,1,63.7,1,0.84,0.1,9.16,0.3,0.891,0.04,17.1,1,49,2,0.04,0.04,2.4,0.04,0.305,0.005,7.87,2,0.015,0.005,5.4,0.4,89,4,101.7,4,"A2H083Q01","A21J"
90214,1988-06-01 07:00:00,0,"DWS-RQIS","HGCL2",40.6,1,47.9,3,389,1,64,1,0.83,0.1,9.21,0.3,0.874,0.04,17.1,1,49.4,2,0.07,0.04,2.38,0.04,0.287,0.005,7.81,2,0.016,0.005,5.15,0.4,84.2,4,105.5,4,"A2H083Q01","A21J"
90214,1988-07-04 07:00:00,0,"DWS-RQIS","HGCL2",46.6,1,53,3,425,1,67,1,0.86,0.1,9.29,0.3,1.13,0.04,17.7,1,49.7,2,0.17,0.04,3.44,0.04,0.256,0.005,7.39,2,0.026,0.005,3.32,0.4,91.9,4,115.5,4,"A2H083Q01","A21J"
90214,1988-08-08 07:00:00,0,"DWS-RQIS","HGCL2",40.6,1,53,3,403,1,58,1,1.08,0.1,8.87,0.3,0.751,0.04,16.4,1,48.2,2,0.06,0.04,2.5,0.04,0.134,0.005,7.7,2,0.007,0.005,4.41,0.4,89.3,4,110.6,4,"A2H083Q01","A21J"
90214,1988-08-22 07:00:00,0,"DWS-RQIS","HGCL2",41.4,1,52.9,3,407,1,58,1,1.07,0.1,8.98,0.3,0.887,0.04,16.5,1,48.2,2,0.05,0.04,2.74,0.04,0.197,0.005,7.8,2,0.03,0.005,4.41,0.4,89.7,4,111.7,4,"A2H083Q01","A21J"
